1,crab
a,ant egg
ae,ant egg
aegg,ant egg
ah,ant hole
b,bee
ba,baby ant
baby,baby ant
bb,bumblebee
bbl,bubble
beet,beetle
bf,baby fire ant
bfa,baby fire ant
brw,fire ant burrow
bt,baby termite
btl,beetle
bub,bubble
bumb,bumblebee
bumble,bumblebee
burrow,fire ant burrow
c,cactus
cock,roach
d,desert centipede
dan,dandelion
dandy,dandelion
dark,dark ladybug
dl,dark ladybug
dlady,dark ladybug
e,beetle
f,fly
fab,fire ant burrow
fae,fire ant egg
faegg,fire ant egg
fe,fire ant egg
fegg,fire ant egg
ff,firefly
fq,queen fire ant
fqa,queen fire ant
fwa,worker fire ant
fy,fly
g,gambler
gam,gambler
gamb,gambler
garden ladybug,ladybug
gorp,beetle
gub,ladybug
h,hornet
hel,hel beetle
helb,hel beetle
helbeet,hel beetle
helbtl,hel beetle
hels,hel spider
helw,hel wasp
hole,ant hole
j,jellyfish
jel,jellyfish
jelly,jellyfish
jf,jellyfish
l,ladybug
m,moth
md,termite mound
mff,magic firefly
mound,termite mound
mount,termite mound
nzr,nazar beetle
nzrbtl,nazar beetle
oint,fly
oint oint baib,fly
ovm,termite overmind
q,queen ant
qa,queen ant
qf,queen fire ant
qfa,queen fire ant
r,rock
s,shiny ladybug
sa,soldier ant
sand,sandstorm
sc,scorpion
sf,soldier fire ant
sfa,soldier fire ant
sh,shell
shiny,shiny ladybug
soldfire,soldier fire ant
soldier, soldier ant
sp,sponge
spid,spider
sq,square
ss,sandstorm
sss,sandstorm
sst,soldier termite
st,soldier termite
sta,starfish
star,starfish
storm,sandstorm
tae,termite egg
tegg,termite egg
term,soldier termite
termy,soldier termite
w,wasp
wa,worker ant
webby ber,spider
wf,worker fire ant
wfa,worker fire ant
wo,worm
work,worker ant
worker,worker ant
wt,workertermite
