1 crab
b bee
tae termiteegg
fae fireantegg
ae antegg
fe fireantegg
tegg termiteegg
aegg antegg
fegg fireantegg
faegg fireantegg
nzr nazarbeetle
helbeet helbeetle
helbtl helbeetle
nzrbtl nazarbeetle
gamb gambler
btl beetle
beet beetle
baby babyant
fy fly
f fly
a antegg
bumb bumblebee
bumble bumblebee
bb bumblebee
bub bubble
bbl bubble
c cactus
d desertcentipede
dan dandelion
dandy dandelion
dark darkladybug
g gambler
gorp beetle
h hornet
j jellyfish
l ladybug
m moth
q queenant
qa queenant
qf queenfireant
fq queenfireant
fqa queenfireant
qfa queenfireant
ff firefly
mff magicfirefly
cock roach
r rock
s shinyladybug
shiny shinyladybug
sc scorpion
sh shell
sa soldierant
sf soldierfireant
sfa soldierfireant
sta soldiertermite
sp sponge
spid spider
sq square
st starfish
ovm termiteovermind
w wasp
wa workerant
wf workerfireant
wfa workerfireant
fwa workerfireant
wt workertermite
wo worm
fab fireantburrow
burrow fireantburrow
mount termitemound
hole anthole
brw fireantburrow
md mound
ah anthole
bt babytermite
bfa babyfireant
ba babyant
bf babyfireant
gub ladybug
oint fly
